"순위","영화명","개봉일","매출액","매출액점유율","매출액증감(전일대비)","매출액증감율(전일대비)","누적매출액","관객수","관객수증감(전일대비)","관객수증감율(전일대비)","누적관객수","스크린수","상영횟수","대표국적","국적","제작사","배급사","등급","장르","감독","배우"
"112","포크레인","2017-07-27",10500,0,-10500,-0.5,1081000,3,-3,-0.5,170,1,1,"한국","한국","(주)김기덕 필름","(주)김기덕 필름","15세이상관람가","드라마","이주형","엄태웅,이진성,김경익,심정완,정세형"
"117","헤르보르 이야기","",10000,0,-75000,-0.882,95000,2,-15,-0.882,19,1,1,"스웨덴","스웨덴","","","","다큐멘터리","",""
"117","화이트 릴리","2017-08-17",15000,0,-1000,-0.063,6112000,2,0,0,1005,2,2,"일본","일본","","홀리가든,(주)오렌지옐로우하임","청소년관람불가","드라마","나카타 히데오",""
"119","더 비지터: 리턴즈","",2000,0,0,0,6000,1,0,0,3,1,1,"프랑스","프랑스","","","12세이상관람가","코미디,판타지","장 마리 프와레","장 르노,크리스티앙 클라비에,프랑크 두보슥,카린 비아르"
"119","낯선 집","2016-09-08",5000,0,-12000,-0.706,451000,1,-2,-0.667,108,1,1,"중국","중국","","(주)액티버스엔터테인먼트","15세이상관람가","미스터리,공포(호러),스릴러","대니 팽","서교,장조휘"
"121","나의 첫번째 장례식","2014-09-11",0,0,0,1,45843000,0,0,1,6446,1,1,"벨기에","벨기에","","(주)판다미디어","15세이상관람가","코미디","샘 가바르스키","모리츠 블라이브트로이,패트리시아 아퀘트"
"121","달에 부는 바람","2016-05-26",0,0,0,1,5849100,0,0,1,958,1,1,"한국","한국","민치앤필름","무브먼트","전체관람가","다큐멘터리","이승준","김예지,김미영,김자엽"
"121","장미의 이름","1989-06-03",0,0,0,1,12018000,0,0,1,5715,1,1,"프랑스","프랑스,이탈리아,독일","프랑스3시네마","이십세기폭스필름코퍼레이션","연소자관람불가","드라마,미스터리,스릴러,범죄","장 자끄 아노","숀 코네리,크리스찬 슬레이터"
"121","부르카 복서","",0,0,-5000,-1,5000,0,-1,-1,1,1,1,"미국","미국,인도,프랑스","","","","다큐멘터리","",""
"121","나의 아들, 나의 어머니","2015-12-17",0,0,0,1,30061800,0,0,1,4218,1,1,"한국","한국","창작집단917,민프로덕션","(주)인디플러그","전체관람가","다큐멘터리","안재민",""
"121","하늘의 황금마차","2014-09-04",0,0,0,1,20051300,0,0,1,2703,1,1,"한국","한국","국가인권위원회,주식회사 자파리필름","(주)영화사 진진","12세이상관람가","드라마","오멸","문석범,김동호,양정원,이경준,킹스턴 루디스카,성낙원,손형식,장정인,조상원,조수범,한승진"
"합계","","",8474813174,NA,NA,NA,414063696432,1022018,NA,NA,52574219,6764,19158,"","","","","","","",""
