"전철역코드","전철역명","호선","외부코드","전철역_ko","lon","lat","address"
1015,"회기","1","123","회기역&language=ko",127.058018,37.58971,"서울특별시 휘경동 회기역"
1019,"광운대","1","119","광운대역&language=ko",127.061975,37.623635,"서울특별시 월계동 광운대역"
1022,"창동","1","116","창동역&language=ko",127.047663,37.65318,"서울특별시 창동 창동역"
1401,"봉명","1","P170","봉명역&language=ko",127.136319,36.801578,"천안시 봉명동 봉명역"
1405,"배방","1","P174","배방역&language=ko",127.052751,36.77754,"아산시 배방읍 배방역"
1701,"구로","1","141","구로역&language=ko",126.882262,37.502906,"서울특별시 구로동 구로역"
1704,"석수","1","P145","석수역&language=ko",126.902233,37.435161,"안양시 석수동 석수역"
1707,"명학","1","P148","명학역&language=ko",126.935579,37.384435,"안양시 안양동 명학역"
1710,"의왕","1","P152","의왕역&language=ko",126.948099,37.320648,"의왕시 부곡동 의왕역"
1713,"수원","1","P155","수원역&language=ko",127.000223,37.265669,"수원시 매산로1가 수원역"
1716,"병점","1","P157","병점역&language=ko",127.037675,37.2002042,"대한민국 경기도 화성시 병점동 527-1 병점역"
1720,"진위","1","P161","진위역&language=ko",127.062342,37.109771,"평택시 진위면 진위역"
1723,"지제","1","P164","지제역&language=ko",127.070269,37.018822,"평택시 세교동 지제역"
1725,"성환","1","P166","성환역&language=ko",127.126936,36.916675,"천안시 성환읍 성환역"
1728,"천안","1","P169","천안역&language=ko",127.146417,36.810238,"천안시 대흥동 천안역"
1801,"개봉","1","143","개봉역&language=ko",126.858504,37.494698,"서울특별시 개봉동 개봉역"
1804,"부천","1","148","부천역&language=ko",126.782787,37.484074,"부천시 심곡동 부천역"
1807,"백운","1","153","백운역&language=ko",126.707179,37.483301,"인천광역시 십정동 백운역"
1811,"동인천","1","160","동인천역&language=ko",126.632598,37.475414,"인천광역시 동인천동 동인천역"
1815,"부개","1","151","부개역&language=ko",126.740549,37.488479,"인천광역시 부개1동 부개역"
1269,"강매","K","K319","강매역&language=ko",78.1560869,9.9441147,"인도 625020 tamil nadu, madurai, 매투타바니 버스 스탠드"
1821,"온수","1","145","온수역&language=ko",126.823399,37.492267,"서울특별시 온수동 온수역"
1901,"방학","1","115","방학역&language=ko",127.044295,37.66747,"서울특별시 방학1동 방학역"
1904,"망월사","1","112","망월사역&language=ko",127.04736,37.710499,"의정부시 호원동 망월사역"
1907,"가능","1","109","가능역&language=ko",127.044251,37.748362,"의정부시 가능1동 가능역"
1911,"덕정","1","105","덕정역&language=ko",127.061511,37.843216,"양주시 덕정동 덕정역"
1914,"보산","1","102","보산역&language=ko",127.057134,37.914268,"동두천시 보산동 보산역"
1950,"삼송","3","318","삼송역&language=ko",126.895559,37.653096,"고양시 신도동 삼송역"
1953,"대곡","3","315","대곡역&language=ko",126.809568,37.632285,"고양시 능곡동 대곡역"
1956,"정발산","3","312","정발산역&language=ko",126.773387,37.659485,"고양시 마두동 정발산역"
412,"창동","4","412","창동역&language=ko",127.047663,37.65318,"서울특별시 창동 창동역"
418,"성신여대입구","4","418","성신여대입구역&language=ko",127.016544,37.59272,"서울특별시 동선동 성신여대입구역"
427,"숙대입구","4","427","숙대입구역&language=ko",126.971987,37.545097,"서울특별시 갈월동 숙대입구역"
433,"사당","4","433","사당역&language=ko",126.981633,37.476559,"대한민국 서울특별시 동작구 사당동 1026-32 사당역"
1450,"선바위","4","435","선바위역&language=ko",127.002164,37.451854,"과천시 과천동 선바위역"
1451,"경마공원","4","436","경마공원역&language=ko",127.007899,37.443987,"과천시 과천동 경마공원역"
1454,"정부과천청사","4","439","정부과천청사역&language=ko",126.989695,37.42653,"과천시 중앙동 정부과천청사역"
1457,"범계","4","442","범계역&language=ko",126.950627,37.389854,"안양시 호계동 범계역"
1753,"반월","4","447","반월역&language=ko",126.903684,37.312244,"안산시 건건동 반월역"
1755,"한대앞","4","449","한대앞역&language=ko",126.853656,37.309685,"안산시 이동 한대앞역"
1758,"초지","4","452","초지역&language=ko",126.806151,37.320583,"안산시 초지동 초지역"
1761,"정왕","4","455","정왕역&language=ko",126.742844,37.351816,"시흥시 정왕동 정왕역"
2514,"송정","5","513","송정역&language=ko",126.812116,37.561189,"서울특별시 공항동 송정역"
2519,"까치산","5","518","까치산역&language=ko",126.846507,37.532114,"서울특별시 화곡동 까치산역"
2523,"양평","5","522","양평역&language=ko",127.492149,37.492778,"양평군 양평읍 양평역"
2715,"노원","7","713","노원역&language=ko",127.060551,37.654527,"서울특별시 상계동 노원역"
2716,"중계","7","714","중계역&language=ko",127.063907,37.645494,"서울특별시 중계2.3동 중계역"
2717,"하계","7","715","하계역&language=ko",127.068213,37.63595,"서울특별시 하계동 하계역"
2718,"공릉","7","716","공릉역&language=ko",127.072894,37.625787,"서울특별시 공릉동 공릉역"
2719,"태릉입구","7","717","태릉입구역&language=ko",127.07533,37.618496,"서울특별시 공릉동 태릉입구역"
2721,"중화","7","719","중화역&language=ko",127.079285,37.602572,"서울특별시 중화동 중화역"
2722,"상봉","7","720","상봉역&language=ko",127.085721,37.595619,"서울특별시 상봉동 상봉역"
2723,"면목","7","721","면목역&language=ko",127.087494,37.588745,"서울특별시 면목동 면목역"
2725,"용마산","7","723","용마산역&language=ko",127.086818,37.573793,"서울특별시 면목동 용마산역"
2726,"중곡","7","724","중곡역&language=ko",127.084086,37.565535,"서울특별시 중곡3동 중곡역"
2727,"군자","7","725","군자역&language=ko",127.079489,37.557157,"서울특별시 능동 군자역"
2729,"건대입구","7","727","건대입구역&language=ko",127.069236,37.540389,"서울특별시 화양동 건대입구역"
2730,"뚝섬유원지","7","728","뚝섬유원지역&language=ko",127.066691,37.531537,"서울특별시 자양동 뚝섬유원지역"
2731,"청담","7","729","청담역&language=ko",127.051937,37.51912,"서울특별시 청담동 청담역"
2732,"강남구청","7","730","강남구청역&language=ko",127.041275,37.517172,"서울특별시 삼성2동 강남구청역"
2734,"논현","7","732","논현역&language=ko",127.021728,37.511206,"서울특별시 논현동 논현역"
2735,"반포","7","733","반포역&language=ko",127.011847,37.508213,"서울특별시 잠원동 반포역"
2736,"고속터미널","7","734","고속터미널역&language=ko",127.004996,37.50483,"서울특별시 반포4동 고속터미널역"
2738,"총신대입구(이수)","7","736","총신대입구(이수)역&language=ko",126.982164,37.486651,"서울특별시 사당2동 총신대입구(이수)역"
2739,"남성","7","737","남성역&language=ko",126.970673,37.484876,"서울특별시 사당동 남성역"
2740,"숭실대입구","7","738","숭실대입구역&language=ko",126.953504,37.496374,"서울특별시 상도동 숭실대입구역"
2742,"장승배기","7","740","장승배기역&language=ko",126.939191,37.504905,"서울특별시 상도동 장승배기역"
2743,"신대방삼거리","7","741","신대방삼거리역&language=ko",126.928189,37.499717,"서울특별시 대방동 신대방삼거리역"
2744,"보라매","7","742","보라매역&language=ko",126.920282,37.499929,"서울특별시 신길동 보라매역"
2746,"대림","7","744","대림역&language=ko",126.894906,37.493366,"서울특별시 구로동 대림역"
2747,"남구로","7","745","남구로역&language=ko",126.887272,37.486087,"서울특별시 구로동 남구로역"
2748,"가산디지털단지","7","746","가산디지털단지역&language=ko",126.882637,37.48143,"서울특별시 가리봉동 가산디지털단지역"
2749,"철산","7","747","철산역&language=ko",126.8682506,37.4759465,"광명시 철산동 철산역"
2750,"광명사거리","7","748","광명사거리역&language=ko",126.854385,37.479413,"광명시 광명동 광명사거리역"
2751,"천왕","7","749","천왕역&language=ko",126.838681,37.486686,"서울특별시 오류동 천왕역"
2752,"온수","7","750","온수역&language=ko",126.823399,37.492267,"서울특별시 온수동 온수역"
2754,"부천종합운동장","7","752","부천종합운동장역&language=ko",126.797498,37.505452,"부천시 춘의동 부천종합운동장역"
2755,"춘의","7","753","춘의역&language=ko",126.787079,37.50371,"부천시 춘의동 춘의역"
2757,"부천시청","7","755","부천시청역&language=ko",126.763602,37.504669,"부천시 중동 부천시청역"
2758,"상동","7","756","상동역&language=ko",126.753147,37.505802,"부천시 상동 상동역"
2759,"삼산체육관","7","757","삼산체육관역&language=ko",126.742024,37.506483,"부천시 상3동 삼산체육관역"
2761,"부평구청","7","759","부평구청역&language=ko",126.72059,37.508708,"인천광역시 청천동 부평구청역"
2811,"암사","8","810","암사역&language=ko",127.127519,37.550148,"서울특별시 암사동 암사역"
2813,"강동구청","8","812","강동구청역&language=ko",127.120535,37.53051,"서울특별시 성내동 강동구청역"
2815,"잠실","8","814","잠실역&language=ko",127.1011099,37.5132357,"서울특별시 신천동 잠실역"
2816,"석촌","8","815","석촌역&language=ko",127.106981,37.505438,"서울특별시 송파동 석촌역"
2817,"송파","8","816","송파역&language=ko",127.112201,37.499739,"서울특별시 가락동 송파역"
